old_file_names,labels,new_file_names
national/95.mp3,national,train/1.mp3
entertainment/697.mp3,entertainment,train/2.mp3
entertainment/707.mp3,entertainment,train/3.mp3
national/107.mp3,national,train/4.mp3
sports/69.mp3,sports,train/5.mp3
sports/41.mp3,sports,train/6.mp3
international/110.mp3,international,train/7.mp3
national/1488.mp3,national,train/8.mp3
national/840.mp3,national,train/9.mp3
international/647.mp3,international,train/10.mp3
sports/70.mp3,sports,train/11.mp3
economics/754.mp3,economics,train/12.mp3
national/137.mp3,national,train/13.mp3
national/907.mp3,national,train/14.mp3
national/691.mp3,national,train/15.mp3
economics/497.mp3,economics,train/16.mp3
national/1342.mp3,national,train/17.mp3
economics/78.mp3,economics,train/18.mp3
sports/769.mp3,sports,train/19.mp3
sports/803.mp3,sports,train/20.mp3
national/569.mp3,national,train/21.mp3
economics/705.mp3,economics,train/22.mp3
national/866.mp3,national,train/23.mp3
national/1202.mp3,national,train/24.mp3
entertainment/496.mp3,entertainment,train/25.mp3
national/1534.mp3,national,train/26.mp3
economics/721.mp3,economics,train/27.mp3
economics/462.mp3,economics,train/28.mp3
entertainment/183.mp3,entertainment,train/29.mp3
economics/357.mp3,economics,train/30.mp3
entertainment/71.mp3,entertainment,train/31.mp3
entertainment/301.mp3,entertainment,train/32.mp3
sports/834.mp3,sports,train/33.mp3
entertainment/828.mp3,entertainment,train/34.mp3
national/213.mp3,national,train/35.mp3
entertainment/676.mp3,entertainment,train/36.mp3
economics/248.mp3,economics,train/37.mp3
economics/434.mp3,economics,train/38.mp3
international/24.mp3,international,train/39.mp3
national/734.mp3,national,train/40.mp3
national/623.mp3,national,train/41.mp3
international/173.mp3,international,train/42.mp3
national/1128.mp3,national,train/43.mp3
economics/479.mp3,economics,train/44.mp3
sports/126.mp3,sports,train/45.mp3
national/128.mp3,national,train/46.mp3
national/179.mp3,national,train/47.mp3
economics/260.mp3,economics,train/48.mp3
economics/520.mp3,economics,train/49.mp3
national/1323.mp3,national,train/50.mp3
sports/74.mp3,sports,train/51.mp3
economics/606.mp3,economics,train/52.mp3
national/837.mp3,national,train/53.mp3
international/646.mp3,international,train/54.mp3
national/1217.mp3,national,train/55.mp3
entertainment/918.mp3,entertainment,train/56.mp3
national/438.mp3,national,train/57.mp3
sports/632.mp3,sports,train/58.mp3
economics/476.mp3,economics,train/59.mp3
international/901.mp3,international,train/60.mp3
sports/779.mp3,sports,train/61.mp3
entertainment/736.mp3,entertainment,train/62.mp3
national/1383.mp3,national,train/63.mp3
entertainment/192.mp3,entertainment,train/64.mp3
national/1282.mp3,national,train/65.mp3
national/707.mp3,national,train/66.mp3
national/995.mp3,national,train/67.mp3
international/463.mp3,international,train/68.mp3
international/75.mp3,international,train/69.mp3
sports/345.mp3,sports,train/70.mp3
entertainment/191.mp3,entertainment,train/71.mp3
international/446.mp3,international,train/72.mp3
national/856.mp3,national,train/73.mp3
entertainment/879.mp3,entertainment,train/74.mp3
entertainment/40.mp3,entertainment,train/75.mp3
entertainment/757.mp3,entertainment,train/76.mp3
national/742.mp3,national,train/77.mp3
sports/812.mp3,sports,train/78.mp3
entertainment/615.mp3,entertainment,train/79.mp3
national/396.mp3,national,train/80.mp3
entertainment/42.mp3,entertainment,train/81.mp3
international/51.mp3,international,train/82.mp3
entertainment/706.mp3,entertainment,train/83.mp3
international/329.mp3,international,train/84.mp3
economics/338.mp3,economics,train/85.mp3
sports/638.mp3,sports,train/86.mp3
sports/387.mp3,sports,train/87.mp3
economics/118.mp3,economics,train/88.mp3
sports/481.mp3,sports,train/89.mp3
sports/841.mp3,sports,train/90.mp3
national/144.mp3,national,train/91.mp3
entertainment/14.mp3,entertainment,train/92.mp3
international/478.mp3,international,train/93.mp3
entertainment/911.mp3,entertainment,train/94.mp3
entertainment/408.mp3,entertainment,train/95.mp3
sports/341.mp3,sports,train/96.mp3
entertainment/510.mp3,entertainment,train/97.mp3
international/693.mp3,international,train/98.mp3
sports/383.mp3,sports,train/99.mp3
national/1331.mp3,national,train/100.mp3
economics/726.mp3,economics,train/101.mp3
international/772.mp3,international,train/102.mp3
entertainment/859.mp3,entertainment,train/103.mp3
entertainment/22.mp3,entertainment,train/104.mp3
international/123.mp3,international,train/105.mp3
national/1366.mp3,national,train/106.mp3
sports/522.mp3,sports,train/107.mp3
national/635.mp3,national,train/108.mp3
national/222.mp3,national,train/109.mp3
entertainment/587.mp3,entertainment,train/110.mp3
international/925.mp3,international,train/111.mp3
national/1176.mp3,national,train/112.mp3
national/140.mp3,national,train/113.mp3
economics/661.mp3,economics,train/114.mp3
international/471.mp3,international,train/115.mp3
entertainment/399.mp3,entertainment,train/116.mp3
international/364.mp3,international,train/117.mp3
international/877.mp3,international,train/118.mp3
international/337.mp3,international,train/119.mp3
national/44.mp3,national,train/120.mp3
international/225.mp3,international,train/121.mp3
national/72.mp3,national,train/122.mp3
